,gsm,type,geo_id,platform.new,drug_name,DiseaseState,cell_type,TissueID,TissueName,ale_text_sex,ale_expr_sex,ale_expr_sex_post,cell_line
285,GSM671733,ctrl,GSE27182,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.983645529,FALSE
286,GSM671567,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.966237288,FALSE
287,GSM671568,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.972697905,FALSE
288,GSM671569,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.954267627,FALSE
289,GSM671564,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.978448736,FALSE
290,GSM671565,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.980588178,FALSE
291,GSM671566,ctrl,GSE27170,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.979477065,FALSE
292,GSM671555,ctrl,GSE27169,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.943798266,FALSE
293,GSM671556,ctrl,GSE27169,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.934902932,FALSE
294,GSM671557,ctrl,GSE27169,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.92896509,FALSE
295,GSM669425,ctrl,GSE27095,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.933892798,FALSE
296,GSM669426,ctrl,GSE27095,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.937912216,FALSE
297,GSM669427,ctrl,GSE27095,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.958674026,FALSE
298,GSM1038435,ctrl,GSE42375,GPL570,,NA,chromatin location|Cultured Cell Line,NA,NA,NA,male,0.671074292,NA
299,GSM1038436,ctrl,GSE42375,GPL570,,NA,chromatin location|Cultured Cell Line,NA,NA,NA,male,0.702666419,NA
300,GSM1038431,ctrl,GSE42375,GPL570,,NA,chromatin location|Cultured Cell Line,NA,NA,NA,male,0.708833366,NA
301,GSM1038432,ctrl,GSE42375,GPL570,,NA,chromatin location|Cultured Cell Line,NA,NA,NA,male,0.842206075,NA
302,GSM672190,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.941898078,FALSE
303,GSM672196,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.939044217,FALSE
304,GSM672202,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.928458967,FALSE
305,GSM672313,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.900515154,FALSE
306,GSM672314,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.847784735,FALSE
307,GSM672315,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.927357439,FALSE
308,GSM998558,ctrl,GSE40635,GPL570,dimethyl sulfoxide,1,Bone Marrow|Cells|Cultured Cell Line|T-Lymphocyte,731,acute lymphoblastic leukemia cell,,female,0.66870265,FALSE
309,GSM998559,ctrl,GSE40635,GPL570,dimethyl sulfoxide,1,Bone Marrow|Cells|Cultured Cell Line|T-Lymphocyte,731,acute lymphoblastic leukemia cell,,female,0.63106024,FALSE
310,GSM998562,ctrl,GSE40635,GPL570,dimethyl sulfoxide,1,Bone Marrow|Cells|Cultured Cell Line|T-Lymphocyte,731,acute lymphoblastic leukemia cell,,female,0.576698953,FALSE
311,GSM998563,ctrl,GSE40635,GPL570,dimethyl sulfoxide,1,Bone Marrow|Cells|Cultured Cell Line|T-Lymphocyte,731,acute lymphoblastic leukemia cell,,female,0.576417147,FALSE
312,GSM548551,ctrl,GSE22061,GPL570,histone deacetylase inhibitor|romidepsin|solvent,1,"Cells [Chemical/Ingredient]|Colon structure (body structure)|Cultured Cell Line|HCT116 Cells|Malignant Epithelial Cell|Tumor cells, malignant",269,colon,,female,0.577207027,FALSE
313,GSM548552,ctrl,GSE22061,GPL570,histone deacetylase inhibitor|romidepsin|solvent,1,"Cells [Chemical/Ingredient]|Colon structure (body structure)|Cultured Cell Line|HCT116 Cells|Malignant Epithelial Cell|Tumor cells, malignant",269,colon,,male,0.517871316,FALSE
314,GSM372018,ctrl,GSE14886,GPL570,(+)-dexrazoxane|doxorubicin(1+)|doxycycline|tetracycline,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell,NA,NA,NA,female,0.610483258,NA
315,GSM373559,ctrl,GSE14886,GPL570,(+)-dexrazoxane|doxorubicin(1+)|doxycycline|tetracycline,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell,NA,NA,NA,female,0.565065588,NA
316,GSM373560,ctrl,GSE14886,GPL570,(+)-dexrazoxane|doxorubicin(1+)|doxycycline|tetracycline,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell,NA,NA,NA,male,0.573663313,NA
317,GSM373561,ctrl,GSE14886,GPL570,(+)-dexrazoxane|doxorubicin(1+)|doxycycline|tetracycline,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell,NA,NA,NA,male,0.581665201,NA
318,GSM611564,ctrl,GSE24869,GPL570,leukotriene B4|leukotriene D4(1-),0,Cells|Monocytes,876,monocyte,,male,0.638921712,FALSE
319,GSM611565,ctrl,GSE24869,GPL570,leukotriene B4|leukotriene D4(1-),0,Cells|Monocytes,876,monocyte,,male,0.905852798,FALSE
320,GSM611566,ctrl,GSE24869,GPL570,leukotriene B4|leukotriene D4(1-),0,Cells|Monocytes,876,monocyte,,male,0.792225676,FALSE
321,GSM611567,ctrl,GSE24869,GPL570,leukotriene B4|leukotriene D4(1-),0,Cells|Monocytes,876,monocyte,,female,0.727623167,FALSE
322,GSM611568,ctrl,GSE24869,GPL570,leukotriene B4|leukotriene D4(1-),0,Cells|Monocytes,876,monocyte,,male,0.795695935,FALSE
323,GSM587959,ctrl,GSE23849,GPL570,"Aortic Aneurysm, Abdominal|bortezomib|inhibitor|proteasome inhibitor|protein polypeptide chain",NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Lymphoma cells|Membrane|Neoplastic Cell,NA,NA,NA,female,0.818854091,NA
324,GSM587961,ctrl,GSE23849,GPL570,"Aortic Aneurysm, Abdominal|bortezomib|inhibitor|proteasome inhibitor|protein polypeptide chain",NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Lymphoma cells|Membrane|Neoplastic Cell,NA,NA,NA,female,0.777518419,NA
325,GSM1081193,ctrl,GSE44245,GPL570,,0,Cells|Lymphocyte,775,lymphocyte,,male,0.998109898,FALSE
326,GSM1081194,ctrl,GSE44245,GPL570,,0,Cells|Lymphocyte,775,lymphocyte,,male,0.996489317,FALSE
327,GSM1081195,ctrl,GSE44245,GPL570,,0,Cells|Lymphocyte,775,lymphocyte,,male,0.702902002,FALSE
328,GSM1005596,ctrl,GSE40960,GPL570,,0,Cells|Endothelial Cells|Media layer,1176,endothelial cell,,male,0.91192116,FALSE
329,GSM1005597,ctrl,GSE40960,GPL570,,0,Cells|Endothelial Cells|Media layer,1176,endothelial cell,,male,0.562750059,FALSE
330,GSM1005598,ctrl,GSE40960,GPL570,,0,Cells|Endothelial Cells|Media layer,1176,endothelial cell,,male,0.937539646,FALSE
331,GSM133015,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.796693773,FALSE
332,GSM133017,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.77295064,FALSE
333,GSM1230737,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.922395196,NA
334,GSM1230738,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.928241741,NA
335,GSM1230739,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.789766464,NA
336,GSM960281,ctrl,GSE39293,GPL570,cidofovir(2-),0,Adenocarcinoma Cell|Body tissue|Cells|Cells [Chemical/Ingredient]|Cervix Uteri|Epithelial Cells|Foreskin of penis|HeLa Cells|keratinocyte|Organ,1113,prepuce,M,male,0.806197364,FALSE
337,GSM960289,ctrl,GSE39293,GPL570,cidofovir(2-),0,Adenocarcinoma Cell|Body tissue|Cells|Cells [Chemical/Ingredient]|Cervix Uteri|Epithelial Cells|Foreskin of penis|HeLa Cells|keratinocyte|Organ,1113,prepuce,M,male,0.82789663,FALSE
338,GSM960297,ctrl,GSE39293,GPL570,cidofovir(2-),0,Adenocarcinoma Cell|Body tissue|Cells|Cells [Chemical/Ingredient]|Cervix Uteri|Epithelial Cells|Foreskin of penis|HeLa Cells|keratinocyte|Organ,1113,prepuce,M,male,0.686750438,FALSE
339,GSM960278,ctrl,GSE39293,GPL570,cidofovir(2-),0,"Body tissue|Cell Line, Transformed|Cells|Cells [Chemical/Ingredient]|Entire skin|Foreskin of penis|keratinocyte",1253,skin,,female,0.969051089,FALSE
340,GSM960286,ctrl,GSE39293,GPL570,cidofovir(2-),0,"Body tissue|Cell Line, Transformed|Cells|Cells [Chemical/Ingredient]|Entire skin|Foreskin of penis|keratinocyte",1253,skin,,female,0.991833766,FALSE
341,GSM960294,ctrl,GSE39293,GPL570,cidofovir(2-),0,"Body tissue|Cell Line, Transformed|Cells|Cells [Chemical/Ingredient]|Entire skin|Foreskin of penis|keratinocyte",1253,skin,,female,0.986940496,FALSE
342,GSM132966,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.694321867,FALSE
343,GSM132988,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,female,0.533776902,FALSE
344,GSM1905679,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.947787802,NA
345,GSM1905680,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.912589022,NA
346,GSM1905681,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.86790219,NA
347,GSM1905655,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,male,0.582854148,NA
348,GSM1905656,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,male,0.627339209,NA
349,GSM1905657,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.563204532,NA
350,GSM1905667,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.867112606,NA
351,GSM1905668,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.852802269,NA
352,GSM1905669,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.850655748,NA
353,GSM1905673,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,male,0.535568094,NA
354,GSM1905674,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,male,0.537654141,NA
355,GSM1905675,ctrl,GSE73906,GPL570,antagonist,1,"Body tissue|Colon structure (body structure)|Entire breast|Hematopoietic stem cells|Lung|Ovarian|Pancreas|Stroma|Tumor cells, malignant|Tumor cells, uncertain whether benign or malignant",0,"tissues, cell types and enzyme sources",,female,0.61156344,NA
356,GSM877504,ctrl,GSE35925,GPL570,calcitriol,1,Body tissue|Entire breast|Tissue type,149,breast,F,female,0.977087518,FALSE
357,GSM877514,ctrl,GSE35925,GPL570,calcitriol,1,Body tissue|Entire breast|Tissue type,149,breast,F,female,0.884711891,FALSE
358,GSM877518,ctrl,GSE35925,GPL570,calcitriol,1,Body tissue|Entire breast|Tissue type,149,breast,F,female,0.950652062,FALSE
359,GSM877522,ctrl,GSE35925,GPL570,calcitriol,1,Body tissue|Entire breast|Tissue type,149,breast,F,female,0.854633293,FALSE
360,GSM133004,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,male,0.77328439,FALSE
361,GSM133006,ctrl,GSE5716,GPL570,dimethyl sulfoxide|inhibitor,1,Cultured Cell Line|lymphoblast|T-Lymphocyte,1106,T-cell acute lymphoblastic leukemia cell,,male,0.69486311,FALSE
362,GSM824098,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.976297565,NA
363,GSM824099,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.964320976,NA
364,GSM824100,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.952034274,NA
365,GSM824101,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.980884211,NA
366,GSM824090,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.972067967,NA
367,GSM824091,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.983513838,NA
368,GSM824092,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.967247544,NA
369,GSM824093,ctrl,GSE33325,GPL570,ethyl|organophosphorus compound,NA,"Cells|Embryonic Stem Cells|Myocytes, Cardiac|WA09 Cell Line",NA,NA,NA,female,0.946086269,NA
370,GSM359554,ctrl,GSE14383,GPL570,dimethyl sulfide|dimethyl sulfoxide|solvent,0,Bronchial|Cells [Chemical/Ingredient]|Epithelial Cells,414,epithelial cell,,female,0.807746062,FALSE
371,GSM359555,ctrl,GSE14383,GPL570,dimethyl sulfide|dimethyl sulfoxide|solvent,0,Bronchial|Cells [Chemical/Ingredient]|Epithelial Cells,414,epithelial cell,,female,0.616480047,FALSE
372,GSM718729,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.949617079,NA
373,GSM718730,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.949638,NA
374,GSM1093796,ctrl,GSE44905,GPL570,androgen|dimethyl sulfoxide|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.964856843,FALSE
375,GSM1093797,ctrl,GSE44905,GPL570,androgen|dimethyl sulfoxide|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.930709067,FALSE
376,GSM1093798,ctrl,GSE44905,GPL570,androgen|dimethyl sulfoxide|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.94379028,FALSE
377,GSM1376324,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.819455037,NA
378,GSM1376325,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,female,0.546082801,NA
379,GSM1376328,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,male,0.742788431,NA
380,GSM1376329,ctrl,GSE57156,GPL570,dimethyl sulfoxide|erlotinib,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Lung,NA,NA,NA,male,0.567751087,NA
381,GSM756954,ctrl,GSE30524,GPL570,histone deacetylase inhibitor|inhibitor|protein|protein polypeptide chain,0,B-Lymphocytes|Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Myeloma cell,776,B-lymphocyte,M,male,0.572704076,FALSE
382,GSM756955,ctrl,GSE30524,GPL570,histone deacetylase inhibitor|inhibitor|protein|protein polypeptide chain,0,B-Lymphocytes|Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire cell|Myeloma cell,776,B-lymphocyte,M,male,0.576011707,FALSE
383,GSM1296646,ctrl,GSE53603,GPL570,dimethyl sulfoxide,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Embryo,1233,plant embryo,,female,0.947568785,FALSE
384,GSM1296647,ctrl,GSE53603,GPL570,dimethyl sulfoxide,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Embryo,1233,plant embryo,,female,0.966175544,FALSE
385,GSM1531464,ctrl,GSE62687,GPL570,,0,Body tissue|Brain|brain cell|Cells|Embryo|Entire midbrain|Microtubules|Neurons|Tissue fiber,138,midbrain,,female,0.892862993,FALSE
386,GSM1531465,ctrl,GSE62687,GPL570,,0,Body tissue|Brain|brain cell|Cells|Embryo|Entire midbrain|Microtubules|Neurons|Tissue fiber,138,midbrain,,female,0.636307799,FALSE
387,GSM1531466,ctrl,GSE62687,GPL570,,0,Body tissue|Brain|brain cell|Cells|Embryo|Entire midbrain|Microtubules|Neurons|Tissue fiber,138,midbrain,,female,0.769004271,FALSE
388,GSM1696570,ctrl,GSE69269,GPL570,acetonitrile|pyrrolizidine alkaloid|water,NA,Hepatocyte,NA,NA,NA,male,0.891861339,NA
389,GSM1696571,ctrl,GSE69269,GPL570,acetonitrile|pyrrolizidine alkaloid|water,NA,Hepatocyte,NA,NA,NA,male,0.955327299,NA
390,GSM1696572,ctrl,GSE69269,GPL570,acetonitrile|pyrrolizidine alkaloid|water,NA,Hepatocyte,NA,NA,NA,male,0.96110562,NA
391,GSM1196672,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.570969248,NA
392,GSM1196673,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.595180991,NA
393,GSM1196674,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.549645118,NA
394,GSM1196708,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.571570881,NA
395,GSM1196709,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.640916853,NA
396,GSM1196710,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.622161207,NA
397,GSM1196744,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.506234187,NA
398,GSM1196745,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,female,0.503405427,NA
399,GSM1196746,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.554737914,NA
400,GSM1196681,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.564999207,NA
401,GSM1196682,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.741483071,NA
402,GSM1196683,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.711490683,NA
403,GSM1196717,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.652733028,NA
404,GSM1196718,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.702647837,NA
405,GSM1196719,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.786396851,NA
406,GSM1196753,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.626451742,NA
407,GSM1196754,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.726215345,NA
408,GSM1196755,ctrl,GSE49284,GPL570,adenosyl group|biomarker|dimethyl sulfoxide|histone|inhibitor|L-methionine|lysine,NA,Body tissue|Cultured Cell Line|Entire cell|Lymphoma cells|Oral cavity|Protoplasm,NA,NA,NA,male,0.718773252,NA
409,GSM810956,ctrl,GSE32670,GPL570,17beta-estradiol,1,Cells|Cultured Cell Line|Entire breast|MCF-7 Cells,149,breast,,female,0.676030642,FALSE
410,GSM810957,ctrl,GSE32670,GPL570,17beta-estradiol,1,Cells|Cultured Cell Line|Entire breast|MCF-7 Cells,149,breast,,male,0.591468503,FALSE
